m, 416, 382, 1477426283989
m, 416, 378, 1477426284016
m, 416, 378, 1477426284105
m, 418, 370, 1477426284112
m, 419, 368, 1477426284120
m, 420, 365, 1477426284123
m, 423, 359, 1477426284124
m, 425, 354, 1477426284135
m, 430, 344, 1477426284139
m, 435, 335, 1477426284153
m, 442, 323, 1477426284155
m, 457, 299, 1477426284164
m, 470, 279, 1477426284171
m, 486, 259, 1477426284179
m, 495, 249, 1477426284187
m, 514, 230, 1477426284196
m, 535, 212, 1477426284205
m, 558, 196, 1477426284212
m, 579, 185, 1477426284220
m, 603, 177, 1477426284227
m, 628, 172, 1477426284239
m, 652, 172, 1477426284243
m, 676, 172, 1477426284253
m, 700, 178, 1477426284260
m, 721, 188, 1477426284268
m, 758, 211, 1477426284277
m, 766, 220, 1477426284287
m, 783, 237, 1477426284291
m, 796, 254, 1477426284303
m, 800, 261, 1477426284307
m, 809, 276, 1477426284319
m, 820, 301, 1477426284335
m, 822, 313, 1477426284339
m, 822, 322, 1477426284350
m, 822, 332, 1477426284355
m, 822, 341, 1477426284366
m, 820, 348, 1477426284372
m, 815, 355, 1477426284381
m, 802, 368, 1477426284396
m, 791, 374, 1477426284403
m, 774, 381, 1477426284405
m, 756, 386, 1477426284412
m, 731, 391, 1477426284421
m, 702, 395, 1477426284427
m, 645, 400, 1477426284437
m, 628, 400, 1477426284444
m, 592, 400, 1477426284454
m, 560, 400, 1477426284460
m, 532, 395, 1477426284469
m, 507, 388, 1477426284477
m, 499, 385, 1477426284487
m, 483, 379, 1477426284492
m, 470, 371, 1477426284503
m, 460, 363, 1477426284508
m, 452, 354, 1477426284519
m, 447, 344, 1477426284524
m, 443, 333, 1477426284535
m, 440, 313, 1477426284540
m, 440, 294, 1477426284550
m, 440, 274, 1477426284555
m, 444, 252, 1477426284564
m, 457, 211, 1477426284572
m, 471, 184, 1477426284581
m, 478, 172, 1477426284588
m, 493, 151, 1477426284596
m, 509, 134, 1477426284603
m, 516, 129, 1477426284611
m, 533, 117, 1477426284621
m, 548, 111, 1477426284628
m, 562, 107, 1477426284636
m, 587, 105, 1477426284644
m, 601, 105, 1477426284653
m, 613, 109, 1477426284660
m, 627, 117, 1477426284669
m, 641, 128, 1477426284676
m, 653, 142, 1477426284686
m, 664, 157, 1477426284700
m, 674, 174, 1477426284703
m, 683, 193, 1477426284709
m, 687, 203, 1477426284720
m, 692, 221, 1477426284724
m, 696, 238, 1477426284737
m, 697, 255, 1477426284740
m, 697, 271, 1477426284752
m, 697, 295, 1477426284756
m, 692, 307, 1477426284767
m, 682, 318, 1477426284772
m, 667, 329, 1477426284780
m, 632, 346, 1477426284788
m, 602, 353, 1477426284796
m, 582, 356, 1477426284804
m, 542, 361, 1477426284812
m, 499, 363, 1477426284820
m, 459, 364, 1477426284828
m, 421, 364, 1477426284837
m, 390, 364, 1477426284844
m, 380, 362, 1477426284852
m, 360, 357, 1477426284860
m, 346, 353, 1477426284870
m, 336, 347, 1477426284877
m, 333, 344, 1477426284886
m, 328, 339, 1477426284892
m, 325, 335, 1477426284904
m, 323, 330, 1477426284909
m, 323, 324, 1477426284920
m, 323, 319, 1477426284924
m, 323, 314, 1477426284936
m, 324, 309, 1477426284941
m, 326, 305, 1477426284952
m, 327, 304, 1477426284956
m, 330, 301, 1477426284966
m, 331, 299, 1477426284973
m, 332, 298, 1477426284981
m, 333, 297, 1477426284989
m, 333, 297, 1477426284997
m, 334, 297, 1477426285004
m, 334, 297, 1477426285013
md, 334, 297, 1477426285048
mu, 334, 297, 1477426285153
c, 334, 297, 1477426285162
md, 334, 297, 1477426285430
mu, 334, 297, 1477426285533
c, 334, 297, 1477426285536
dc, 334, 297, 1477426285536
m, 334, 297, 1477426287795
m, 331, 297, 1477426287802
m, 329, 297, 1477426287810
m, 324, 297, 1477426287819
m, 318, 298, 1477426287826
m, 309, 300, 1477426287837
m, 293, 304, 1477426287842
m, 281, 308, 1477426287855
m, 267, 312, 1477426287858
m, 249, 318, 1477426287869
m, 228, 325, 1477426287874
m, 208, 333, 1477426287886
m, 185, 341, 1477426287890
m, 162, 351, 1477426287902
m, 139, 361, 1477426287907
m, 118, 371, 1477426287916
m, 97, 383, 1477426287922
m, 78, 393, 1477426287931
m, 59, 403, 1477426287938
m, 52, 408, 1477426287946
m, 38, 416, 1477426287955
m, 26, 423, 1477426287962
m, 21, 426, 1477426287970
m, 14, 431, 1477426287978
m, 7, 434, 1477426287988
m, 5, 435, 1477426287994
m, 1, 438, 1477426288004
m, 111, 588, 1477426290596
m, 194, 590, 1477426294125
m, 194, 590, 1477426294128
m, 197, 581, 1477426294129
m, 200, 573, 1477426294137
m, 203, 565, 1477426294144
m, 206, 558, 1477426294154
m, 208, 552, 1477426294161
m, 212, 542, 1477426294175
m, 215, 534, 1477426294177
m, 216, 531, 1477426294188
m, 218, 526, 1477426294192
m, 219, 521, 1477426294203
m, 220, 518, 1477426294208
m, 221, 516, 1477426294223
m, 221, 515, 1477426294224
m, 221, 514, 1477426294236
m, 221, 514, 1477426294240
m, 221, 514, 1477426294252
m, 221, 514, 1477426294256
m, 221, 514, 1477426294289
m, 221, 514, 1477426294296
m, 221, 514, 1477426294305
m, 220, 514, 1477426294313
m, 220, 514, 1477426294321
m, 220, 514, 1477426294337
m, 220, 513, 1477426294345
m, 219, 513, 1477426294353
m, 219, 513, 1477426294361
m, 219, 511, 1477426294371
m, 219, 509, 1477426294377
m, 219, 508, 1477426294386
m, 219, 506, 1477426294393
m, 219, 504, 1477426294406
m, 219, 502, 1477426294408
m, 219, 500, 1477426294420
m, 219, 498, 1477426294425
m, 219, 496, 1477426294438
m, 219, 494, 1477426294451
m, 219, 493, 1477426294457
m, 219, 492, 1477426294467
m, 219, 491, 1477426294473
m, 219, 490, 1477426294481
m, 219, 490, 1477426294488
m, 219, 489, 1477426294497
m, 219, 489, 1477426294504
m, 219, 488, 1477426294513
m, 219, 488, 1477426294521
m, 219, 487, 1477426294529
m, 219, 487, 1477426294537
m, 219, 487, 1477426294555
m, 219, 487, 1477426294576
md, 219, 487, 1477426294815
mu, 219, 487, 1477426294852
c, 219, 487, 1477426294870
md, 219, 487, 1477426296163
mu, 219, 487, 1477426296274
c, 219, 487, 1477426296279
m, 1171, 11, 1477426408077
m, 1102, 58, 1477426408098
m, 1077, 74, 1477426408101
m, 1054, 87, 1477426408114
m, 1032, 101, 1477426408117
m, 1009, 114, 1477426408128
m, 987, 127, 1477426408134
m, 967, 138, 1477426408140
m, 949, 147, 1477426408150
m, 941, 152, 1477426408157
m, 925, 160, 1477426408165
m, 911, 167, 1477426408173
m, 899, 174, 1477426408183
m, 895, 176, 1477426408188
m, 886, 179, 1477426408202
m, 879, 183, 1477426408204
m, 876, 184, 1477426408215
m, 871, 186, 1477426408221
m, 863, 188, 1477426408233
m, 843, 190, 1477426419915
m, 828, 194, 1477426419925
m, 808, 198, 1477426419934
m, 785, 204, 1477426419940
m, 756, 212, 1477426419950
m, 725, 222, 1477426419955
m, 663, 244, 1477426419966
m, 598, 270, 1477426419971
m, 571, 282, 1477426419989
m, 518, 305, 1477426419991
m, 471, 328, 1477426419995
m, 455, 336, 1477426420003
m, 424, 353, 1477426420014
m, 414, 360, 1477426420019
m, 394, 372, 1477426420028
m, 389, 375, 1477426420035
m, 378, 382, 1477426420043
m, 369, 388, 1477426420051
m, 367, 390, 1477426420059
m, 363, 393, 1477426420067
m, 360, 395, 1477426420076
m, 358, 396, 1477426420085
m, 357, 397, 1477426420092
m, 356, 398, 1477426420099
m, 355, 398, 1477426420108
m, 355, 398, 1477426420118
m, 355, 399, 1477426420123
m, 355, 399, 1477426420135
m, 355, 399, 1477426420139
m, 354, 400, 1477426420150
m, 353, 401, 1477426420156
m, 351, 404, 1477426420168
m, 348, 408, 1477426420171
m, 343, 416, 1477426420183
m, 336, 424, 1477426420187
m, 329, 434, 1477426420199
m, 325, 439, 1477426420203
m, 310, 456, 1477426420215
m, 305, 460, 1477426420219
m, 296, 469, 1477426420228
m, 287, 475, 1477426420235
m, 279, 481, 1477426420244
m, 275, 483, 1477426420252
m, 267, 487, 1477426420260
m, 261, 490, 1477426420268
m, 254, 493, 1477426420276
m, 248, 495, 1477426420284
m, 243, 496, 1477426420292
m, 238, 496, 1477426420305
m, 233, 496, 1477426420309
m, 228, 496, 1477426420316
m, 225, 496, 1477426420324
m, 222, 496, 1477426420333
m, 219, 494, 1477426420340
m, 217, 491, 1477426420352
m, 214, 483, 1477426420355
m, 214, 473, 1477426420367
m, 214, 461, 1477426420372
m, 217, 446, 1477426420385
m, 224, 428, 1477426420387
m, 234, 409, 1477426420399
m, 246, 388, 1477426420404
m, 259, 369, 1477426420416
m, 273, 349, 1477426420419
m, 287, 333, 1477426420429
m, 302, 319, 1477426420436
m, 309, 313, 1477426420444
m, 323, 303, 1477426420452
m, 336, 294, 1477426420460
m, 349, 287, 1477426420468
m, 363, 282, 1477426420476
m, 375, 279, 1477426420484
m, 388, 277, 1477426420492
m, 411, 277, 1477426420500
m, 424, 277, 1477426420508
m, 436, 279, 1477426420518
m, 442, 283, 1477426420524
m, 452, 291, 1477426420533
m, 460, 302, 1477426420540
m, 466, 314, 1477426420550
m, 470, 328, 1477426420556
m, 473, 353, 1477426420567
m, 473, 369, 1477426420572
m, 468, 386, 1477426420585
m, 450, 415, 1477426420588
m, 430, 432, 1477426420599
m, 419, 439, 1477426420604
m, 397, 452, 1477426420615
m, 372, 464, 1477426420620
m, 361, 468, 1477426420632
m, 340, 475, 1477426420636
m, 323, 480, 1477426420645
m, 315, 481, 1477426420652
m, 302, 484, 1477426420660
m, 291, 485, 1477426420668
m, 283, 485, 1477426420676
m, 277, 485, 1477426420684
m, 272, 485, 1477426420692
m, 271, 485, 1477426420701
m, 269, 484, 1477426420709
m, 266, 483, 1477426420716
m, 265, 481, 1477426420725
m, 264, 481, 1477426420901
m, 260, 481, 1477426420908
m, 255, 481, 1477426420918
m, 250, 481, 1477426420925
m, 245, 481, 1477426420942
m, 240, 482, 1477426420946
m, 237, 482, 1477426420951
m, 234, 482, 1477426420957
m, 231, 482, 1477426420967
m, 229, 482, 1477426420975
m, 228, 482, 1477426420984
m, 225, 482, 1477426420989
m, 223, 483, 1477426421002
m, 222, 483, 1477426421004
m, 222, 483, 1477426421016
m, 221, 483, 1477426421021
m, 221, 483, 1477426421033
m, 221, 483, 1477426421036
m, 220, 483, 1477426421046
m, 220, 484, 1477426421069
m, 220, 484, 1477426421101
m, 220, 484, 1477426421117
m, 220, 484, 1477426421133
m, 220, 484, 1477426421157
m, 220, 484, 1477426421183
md, 220, 484, 1477426421224
mu, 220, 484, 1477426421317
c, 220, 484, 1477426421333
md, 220, 484, 1477426421566
mu, 220, 484, 1477426421645
c, 220, 484, 1477426421654
dc, 220, 484, 1477426421654
m, 220, 484, 1477426421886
m, 220, 479, 1477426421894
m, 220, 472, 1477426421902
m, 220, 462, 1477426421910
m, 226, 447, 1477426421918
m, 235, 416, 1477426421926
m, 249, 384, 1477426421934
m, 265, 349, 1477426421942
m, 287, 311, 1477426421951
m, 312, 274, 1477426421958
m, 338, 242, 1477426421967
m, 367, 216, 1477426421974
m, 382, 208, 1477426421985
m, 410, 196, 1477426421990
m, 458, 183, 1477426421999
m, 489, 183, 1477426422006
m, 515, 189, 1477426422017
m, 546, 205, 1477426422022
m, 573, 224, 1477426422034
m, 600, 249, 1477426422038
m, 621, 274, 1477426422051
m, 630, 289, 1477426422054
m, 647, 315, 1477426422065
m, 650, 325, 1477426422070
m, 664, 367, 1477426422082
m, 665, 405, 1477426422085
m, 663, 425, 1477426422094
m, 647, 447, 1477426422102
m, 619, 467, 1477426422110
m, 550, 498, 1477426422122
m, 487, 513, 1477426422129
m, 411, 524, 1477426422134
m, 369, 526, 1477426422142
m, 291, 529, 1477426422160
m, 218, 531, 1477426422163
m, 192, 531, 1477426422168
m, 145, 527, 1477426422176
m, 133, 523, 1477426422184
m, 107, 513, 1477426422190
m, 92, 505, 1477426422200
m, 83, 494, 1477426422207
m, 78, 484, 1477426422219
m, 77, 473, 1477426422222
m, 77, 462, 1477426422233
m, 79, 454, 1477426422239
m, 84, 446, 1477426422251
m, 88, 443, 1477426422254
m, 94, 438, 1477426422265
m, 99, 435, 1477426422270
m, 104, 433, 1477426422279
m, 108, 432, 1477426422286
m, 113, 432, 1477426422295
m, 116, 432, 1477426422302
m, 119, 432, 1477426422310
m, 122, 434, 1477426422318
m, 124, 436, 1477426422327
m, 126, 438, 1477426422335
m, 127, 441, 1477426422343
m, 129, 443, 1477426422350
m, 129, 446, 1477426422359
m, 130, 449, 1477426422368
m, 131, 451, 1477426422375
m, 132, 454, 1477426422383
m, 133, 456, 1477426422391
m, 133, 458, 1477426422402
m, 135, 460, 1477426422406
m, 137, 462, 1477426422416
m, 139, 464, 1477426422423
m, 142, 466, 1477426422435
m, 146, 469, 1477426422439
m, 152, 472, 1477426422448
m, 154, 473, 1477426422455
m, 159, 475, 1477426422468
m, 164, 477, 1477426422470
m, 168, 479, 1477426422482
m, 171, 481, 1477426422487
m, 173, 481, 1477426422499
m, 177, 482, 1477426422502
m, 180, 483, 1477426422511
m, 182, 484, 1477426422519
m, 185, 484, 1477426422527
m, 187, 485, 1477426422535
m, 188, 485, 1477426422543
m, 190, 485, 1477426422551
m, 192, 486, 1477426422559
m, 193, 486, 1477426422568
m, 194, 486, 1477426422575
m, 195, 487, 1477426422583
m, 196, 487, 1477426422591
m, 197, 488, 1477426422602
m, 198, 489, 1477426422607
m, 199, 490, 1477426422616
m, 199, 491, 1477426422623
m, 200, 491, 1477426422635
m, 200, 492, 1477426422638
m, 200, 493, 1477426422651
m, 200, 494, 1477426422655
m, 200, 494, 1477426422667
m, 200, 494, 1477426422670
m, 200, 495, 1477426422682
m, 200, 495, 1477426422687
md, 200, 495, 1477426422704
mu, 200, 495, 1477426422783
